epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.30837494134902954,2.289645195007324,0.001,0.38704317808151245,2.1333730220794678
1,0.4472176134586334,2.008241653442383,0.001,0.5365448594093323,1.739884376525879
2,0.5916065573692322,1.5847855806350708,0.001,0.5963455438613892,1.5173465013504028
3,0.6674062013626099,1.3784663677215576,0.001,0.6279069781303406,1.4317318201065063
4,0.7202810049057007,1.2266813516616821,0.001,0.6511628031730652,1.3824430704116821
5,0.7698280811309814,1.0878643989562988,0.001,0.6578072905540466,1.3817834854125977
6,0.8029210567474365,0.9864593744277954,0.001,0.6661129593849182,1.3672683238983154
7,0.8275097012519836,0.9048922061920166,0.001,0.6544850468635559,1.4134509563446045
8,0.8435940146446228,0.8479427099227905,0.001,0.6561461687088013,1.4478386640548706
9,0.8570900559425354,0.7910211086273193,0.001,0.6611295938491821,1.4990088939666748
10,0.8648548722267151,0.7737442255020142,0.001,0.6478405594825745,1.7082395553588867
11,0.8692919015884399,0.7665491104125977,0.001,0.6528239250183105,1.614256501197815
